2013-Dec,Water,2495
2014-Jan,Water,2273
2014-Feb,Water,4347
2014-Mar,Water,2616
2014-Apr,Water,4229
2014-May,Water,3730
2014-Jun,Water,1803
2014-Jul,Water,2205
2014-Aug,Water,3204
2014-Sep,Water,4316
2014-Oct,Water,4856
2014-Nov,Water,3109
2014-Dec,Water,2799
2015-Jan,Water,2804
2015-Feb,Water,4108
2015-Mar,Water,3064
2015-Apr,Water,4083
2015-May,Water,3141
2015-Jun,Water,2638
2015-Jul,Water,2455
2015-Aug,Water,3387
2015-Sep,Water,5250
2015-Oct,Water,4347
2015-Nov,Water,3011
2015-Dec,Water,2404
2016-Jan,Water,2376
2016-Feb,Water,3352
2016-Mar,Water,2970
2016-Apr,Water,3733
2016-May,Water,2221
2016-Jun,Water,2039
2016-Jul,Water,2405
2016-Aug,Water,3399
2016-Sep,Water,4328
2016-Oct,Water,4089
2016-Nov,Water,3663
2016-Dec,Water,2656
2017-Jan,Water,2623
2017-Feb,Water,3540
2017-Mar,Water,3254
2017-Apr,Water,3695
2017-May,Water,2977
2017-Jun,Water,3039
2017-Jul,Water,2573
2017-Aug,Water,2713
2017-Sep,Water,3581
2017-Oct,Water,3548
2017-Nov,Water,2515
2017-Dec,Water,1711
2018-Jan,Water,1590
2018-Feb,Water,2888
2018-Mar,Water,2950
2018-Apr,Water,3127
2018-May,Water,3630
2018-Jun,Water,2119
2018-Jul,Water,2715
2018-Aug,Water,3350
2018-Sep,Water,3612
2018-Oct,Water,4107
2018-Nov,Water,3368
2018-Dec,Water,2676
2019-Jan,Water,2515
2019-Feb,Water,3675
2019-Mar,Water,2978
2019-Apr,Water,3511
2019-May,Water,2658
2019-Jun,Water,1528
2008-Jul,Gas,4439
2008-Aug,Gas,5358
2008-Sep,Gas,5732
2008-Oct,Gas,3142
2008-Nov,Gas,3209
2008-Dec,Gas,1427
2009-Jan,Gas,3558
2009-Feb,Gas,3814
2009-Mar,Gas,3093
2009-Apr,Gas,3049
2009-May,Gas,4755
2009-Jun,Gas,3853
2009-Jul,Gas,7014
2009-Aug,Gas,4228
2009-Sep,Gas,3347
2009-Oct,Gas,3133
2009-Nov,Gas,1518
2009-Dec,Gas,3549
2010-Jan,Gas,3419
2010-Feb,Gas,2497
2010-Mar,Gas,2641
2010-Apr,Gas,2082
2010-May,Gas,4178
2010-Jun,Gas,4619
2010-Jul,Gas,5306
2010-Aug,Gas,3881
2010-Sep,Gas,3572
2010-Oct,Gas,2291
