Region,Month,Year,Utility,Usage
Full Campus,October,2011,Water,2609
Full Campus,November,2011,Water,3293
Full Campus,December,2011,Water,2208
Full Campus,January,2012,Water,2716
Full Campus,February,2012,Water,3679
Full Campus,March,2012,Water,3562
Full Campus,April,2012,Water,4022
Full Campus,May,2012,Water,2581
Full Campus,June,2012,Water,2467
Full Campus,July,2012,Water,3403
Full Campus,August,2012,Water,3777
Full Campus,September,2012,Water,4265
Full Campus,October,2012,Water,4837
Full Campus,November,2012,Water,2993
Full Campus,December,2012,Water,2480
Full Campus,January,2013,Water,2802
Full Campus,February,2013,Water,3743
Full Campus,March,2013,Water,3212
Full Campus,April,2013,Water,4240
Full Campus,May,2013,Water,2703
Full Campus,June,2013,Water,2259
Full Campus,July,2013,Water,2967
Full Campus,August,2013,Water,3283
Full Campus,September,2013,Water,4748
Full Campus,October,2013,Water,4898
Full Campus,November,2013,Water,3223
Full Campus,December,2013,Water,2495
Full Campus,January,2014,Water,2273
Full Campus,February,2014,Water,4347
Full Campus,March,2014,Water,2616
Full Campus,April,2014,Water,4229
Full Campus,May,2014,Water,3730
Full Campus,June,2014,Water,1803
Full Campus,July,2014,Water,2205
Full Campus,August,2014,Water,3204
Full Campus,September,2014,Water,4316
Full Campus,October,2014,Water,4856
Full Campus,November,2014,Water,3109
Full Campus,December,2014,Water,2799
Full Campus,January,2015,Water,2804
Full Campus,February,2015,Water,4108
Full Campus,March,2015,Water,3064
Full Campus,April,2015,Water,4083
Full Campus,May,2015,Water,3141
Full Campus,June,2015,Water,2638
Full Campus,July,2015,Water,2455
Full Campus,August,2015,Water,3387
Full Campus,September,2015,Water,5250
Full Campus,October,2015,Water,4347
Full Campus,November,2015,Water,3011
Full Campus,December,2015,Water,2404
Full Campus,January,2016,Water,2376
Full Campus,February,2016,Water,3352
Full Campus,March,2016,Water,2970
Full Campus,April,2016,Water,3733
Full Campus,May,2016,Water,2221
Full Campus,June,2016,Water,2039
Full Campus,July,2016,Water,2405
Full Campus,August,2016,Water,3399
Full Campus,September,2016,Water,4328
Full Campus,October,2016,Water,4089
Full Campus,November,2016,Water,3663
Full Campus,December,2016,Water,2656
Full Campus,January,2017,Water,2623
Full Campus,February,2017,Water,3540
Full Campus,March,2017,Water,3254
Full Campus,April,2017,Water,3695
Full Campus,May,2017,Water,2977
Full Campus,June,2017,Water,3039
Full Campus,July,2017,Water,2573
Full Campus,August,2017,Water,2713
Full Campus,September,2017,Water,3581
Full Campus,October,2017,Water,3548
Full Campus,November,2017,Water,2515
Full Campus,December,2017,Water,1711
Full Campus,January,2018,Water,1590
Full Campus,February,2018,Water,2888
Full Campus,March,2018,Water,2950
Full Campus,April,2018,Water,3127
Full Campus,May,2018,Water,3630
Full Campus,June,2018,Water,2119
Full Campus,July,2018,Water,2715
Full Campus,August,2018,Water,3350
Full Campus,September,2018,Water,3612
Full Campus,October,2018,Water,4107
Full Campus,November,2018,Water,3368
Full Campus,December,2018,Water,2676
Full Campus,January,2019,Water,2515
Full Campus,February,2019,Water,3675
Full Campus,March,2019,Water,2978
Full Campus,April,2019,Water,3511
Full Campus,May,2019,Water,2658
Full Campus,June,2019,Water,1528
Full Campus,July,2008,Gas,4439
Full Campus,August,2008,Gas,5358
Full Campus,September,2008,Gas,5732
Full Campus,October,2008,Gas,3142
Full Campus,November,2008,Gas,3209
Full Campus,December,2008,Gas,1427
Full Campus,January,2009,Gas,3558
Full Campus,February,2009,Gas,3814
Full Campus,March,2009,Gas,3093
Full Campus,April,2009,Gas,3049
Full Campus,May,2009,Gas,4755
Full Campus,June,2009,Gas,3853
Full Campus,July,2009,Gas,7014
Full Campus,August,2009,Gas,4228
Full Campus,September,2009,Gas,3347
Full Campus,October,2009,Gas,3133
Full Campus,November,2009,Gas,1518
Full Campus,December,2009,Gas,3549
Full Campus,January,2010,Gas,3419
